Country,2010-2014
World,70.92395722
Abkhazia,null
Afghanistan,55.722
Akrotiri and Dhekelia,null
Albania,75.62
Algeria,76.18
American Samoa,null
Andorra,83.84
Angola,60.06
Anguilla,null
Antigua and Barbuda,75.2
Argentina,75.94
Armenia,73.5
Aruba,null
Australia,81.78
Austria,80.72
Azerbaijan,72
Bahamas,72.48
Bahrain,78.72
Bangladesh,69.2
Barbados,75.54
Belarus,70.18
Belgium,80.08
Belize,70.02
Benin,64.6
Bermuda,null
Bhutan,69.04
Bolivia,71.7
Bosnia and Herzegovina,77.2
Botswana,65.52
Brazil,74.74
British Virgin Islands,null
Brunei,78.66
Bulgaria,74.22
Burkina Faso,61.58
Burundi,59.44
Cambodia,67.5
Cameroon,58.3
Canada,81.38
Cape Verde,73.94
Cayman Islands,null
Central African Republic,52.44
Chad,56.8
Channel Islands,null
Chile,79
China,76.3
Christmas Island,null
Cocos Island,null
Colombia,75.5
Comoros,63.48
Congo. Dem. Rep.,57.1
Congo. Rep.,61.12
Cook Is,null
Costa Rica,79.72
Cote d'Ivoire,58.342
Croatia,77.62
Cuba,78.2
Cyprus,82.02
Czech Republic,77.94
Czechoslovakia,null
Denmark,79.72
Djibouti,62.842
Dominica,74.38
Dominican Republic,73.44
East Germany,null
Ecuador,74.6
Egypt,70.7
El Salvador,73.84
Equatorial Guinea,58.202
Eritrea,61.72
Eritrea and Ethiopia,null
Estonia,76.38
Ethiopia,62.08
Faeroe Islands,null
Falkland Is (Malvinas),null
Fiji,66.04
Finland,80.42
France,81.54
French Guiana,null
French Polynesia,null
Gabon,58.522
Gambia,63.88
Georgia,72.74
Germany,80.52
Ghana,64.44
Gibraltar,null
Greece,79.74
Greenland,null
Grenada,71.4
Guadeloupe,null
Guam,null
Guatemala,71.82
Guernsey,null
Guinea,59.84
Guinea-Bissau,52.52
Guyana,63.76
Haiti,58.64
Holy See,null
Honduras,71.78
Hong Kong. China,null
Hungary,75.46
Iceland,82.72
India,65.84
Indonesia,70.26
Iran,78.18
Iraq,70.56
Ireland,80.26
Isle of Man,null
Israel,81.98
Italy,82.04
Jamaica,75.52
Japan,83.14
Jersey,null
Jordan,77.96
Kazakhstan,67.58
Kenya,64.522
Kiribati,61.84
North Korea,71.08
South Korea,80.36
United Korea (former),null
Kosovo,null
Kuwait,79.94
Kyrgyz Republic,68.36
Lao,65.48
Latvia,74.92
Lebanon,77.82
Lesotho,48.12
Liberia,62.64
Libya,74.02
Liechtenstein,null
Lithuania,74.68
Luxembourg,81.08
Macao. China,null
Macedonia. FYR,76.34
Madagascar,64.12
Malawi,56.108
Malaysia,74.56
Maldives,79.18
Mali,56.98
Malta,82.02
Marshall Islands,64.5
Martinique,null
Mauritania,64.8
Mauritius,73
Mayotte,null
Mexico,75.68
Micronesia. Fed. Sts.,66.66
Moldova,71.36
Monaco,null
Mongolia,64.4
Montenegro,75.48
Montserrat,null
Morocco,74.1
Mozambique,56.06
Myanmar,66.74
Namibia,60.26
Nauru,null
Nepal,70.24
Netherlands,80.58
Netherlands Antilles,null
New Caledonia,null
New Zealand,80.58
Ngorno-Karabakh,null
Nicaragua,76.2
Niger,61.3
Nigeria,59.642
Niue,null
Norfolk Island,null
Northern Cyprus,null
Northern Mariana Islands,null
Norway,81.24
Oman,75.34
Pakistan,65.36
Palau,null
Panama,77.6
Papua New Guinea,59.44
Paraguay,73.6
Peru,76.98
Philippines,69.9
Pitcairn,null
Poland,76.66
Portugal,79.72
Puerto Rico,null
Qatar,81.66
Reunion,null
Romania,75.38
Russia,70.402
Rwanda,64.782
St. Barthélemy,null
St. Helena,null
St. Kitts and Nevis,null
St. Lucia,74.46
St. Martin,null
St. Vincent and the Grenadines,72.56
St.-Pierre-et-Miquelon,null
Samoa,71.72
San Marino,null
Sao Tome and Principe,68.14
Saudi Arabia,77.84
Senegal,65.46
Serbia,77.48
Serbia and Montenegro,null
Serbia excluding Kosovo,null
Seychelles,73.12
Sierra Leone,57.28
Singapore,81.8
Slovak Republic,76
Slovenia,79.86
Solomon Islands,63.48
Somalia,57.42
Somaliland,null
South Africa,59.088
South Ossetia,null
Spain,81.68
Sri Lanka,75.96
Sudan,68.58
Suriname,69.9
Svalbard,null
Swaziland,49.82
Sweden,81.7
Switzerland,82.58
Syria,73.804
Taiwan,79.12
Tajikistan,70.38
Tanzania,61.782
Thailand,74.8
Timor-Leste,70.88
Togo,62.342
Tokelau,null
Tonga,70.22
Transnistria,null
Trinidad and Tobago,71.16
Tunisia,77
Turkey,76.12
Turkmenistan,67.22
Turks and Caicos Islands,null
Tuvalu,null
Uganda,59.32
Ukraine,71.34
United Arab Emirates,76.32
United Kingdom,80.68
United States,78.78
Uruguay,76.76
USSR,null
Uzbekistan,69.5
Wallis et Futuna,null
Vanuatu,64.4
Venezuela,75.18
West Bank and Gaza,74.38
West Germany,null
Western Sahara,null
Vietnam,76.14
Virgin Islands (U.S.),null
North Yemen (former),null
South Yemen (former),null
Yemen,66.8
Yugoslavia,null
Zambia,55.764
Zimbabwe,54.074
Åland,null
South Sudan,56.96
